,0,1
0,MKT-22005,7
1,MKT-22006,39
2,MKT-22008,1
3,MKT-22013,1
4,MKT-22015,2
5,MKT-22017,42
6,MKT-22018,12
7,MKT-22023,12
8,MKT-22027,31
9,MKT-22029,7
10,MKT-22032,7
11,MKT-22033,42
12,MKT-22034,31
13,MKT-22037,39
14,MKT-22038,2
15,MKT-22039,7
16,MKT-22044,31
17,MKT-22045,1
18,MKT-22046,12
19,MKT-22048,54
20,MKT-22049,39
21,MKT-22050,31
22,MKT-22054,42
23,MKT-22059,1
24,MKT-22064,2
25,MKT-22065,31
26,MKT-22069,54
27,MKT-22072,42
28,MKT-22075,54
29,MKT-22077,54
30,MKT-22079,54
31,MKT-22086,12
32,MKT-22089,7
33,MKT-22090,31
34,MKT-22094,39
35,MKT-22096,54
36,MKT-22098,2
37,MKT-22101,1
38,MKT-22102,12
39,MKT-22104,39
40,MKT-22107,2
41,MKT-22108,2
42,MKT-22110,7
43,MKT-22111,2
44,MKT-22116,12
45,MKT-22118,42
46,MKT-22119,39
47,MKT-22122,42
48,MKT-22129,42
49,MKT-22130,39
50,MKT-22131,1
51,MKT-22133,2
52,MKT-22134,7
53,MKT-22135,54
54,MKT-22137,1
55,MKT-22138,31
56,MKT-22139,31
57,MKT-22144,42
58,MKT-22145,7
59,MKT-22146,1
60,MKT-22149,39
61,MKT-22150,12
62,MKT-22153,12
63,MKT-22159,54
